Time Bucket (America/Chicago),Casa8-Mains_A (kWhs)
03/01/2023 00:00:00,3.4709
03/02/2023 00:00:00,5.1189
03/03/2023 00:00:00,3.4920
03/04/2023 00:00:00,5.2411
03/05/2023 00:00:00,4.0263
03/06/2023 00:00:00,3.0861
03/07/2023 00:00:00,4.3508
03/08/2023 00:00:00,4.9387
03/09/2023 00:00:00,4.2889
03/10/2023 00:00:00,3.1357
03/11/2023 00:00:00,4.3494
03/12/2023 00:00:00,5.3813
03/13/2023 00:00:00,3.9435
03/14/2023 00:00:00,4.0429
03/15/2023 00:00:00,6.0029
03/16/2023 00:00:00,3.5760
03/17/2023 00:00:00,3.7463
03/18/2023 00:00:00,4.1971
03/19/2023 00:00:00,4.0937
03/20/2023 00:00:00,4.4713
03/21/2023 00:00:00,4.5286
03/22/2023 00:00:00,3.8800
03/23/2023 00:00:00,4.1337
03/24/2023 00:00:00,4.1464
03/25/2023 00:00:00,3.3128
03/26/2023 00:00:00,3.7364
03/27/2023 00:00:00,3.2619
03/28/2023 00:00:00,4.1146
03/29/2023 00:00:00,4.0223
03/30/2023 00:00:00,3.9515
03/31/2023 00:00:00,4.5300
04/01/2023 00:00:00,6.0888
