Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
03/01/2023 00:00:00,0.1152
03/02/2023 00:00:00,0.1611
03/03/2023 00:00:00,0.2521
03/04/2023 00:00:00,0.3084
03/05/2023 00:00:00,0.6483
03/06/2023 00:00:00,0.0689
03/07/2023 00:00:00,0.1646
03/08/2023 00:00:00,0.2279
03/09/2023 00:00:00,0.0893
03/10/2023 00:00:00,0.2695
03/11/2023 00:00:00,0.6483
03/12/2023 00:00:00,0.1704
03/13/2023 00:00:00,0.0416
03/14/2023 00:00:00,0.1635
03/15/2023 00:00:00,0.1083
03/16/2023 00:00:00,0.1153
03/17/2023 00:00:00,0.2608
03/18/2023 00:00:00,0.1788
03/19/2023 00:00:00,0.2791
03/20/2023 00:00:00,0.2200
03/21/2023 00:00:00,0.0681
03/22/2023 00:00:00,0.1025
03/23/2023 00:00:00,0.0809
03/24/2023 00:00:00,0.1032
03/25/2023 00:00:00,0.3293
03/26/2023 00:00:00,0.7339
03/27/2023 00:00:00,0.3101
03/28/2023 00:00:00,0.3012
03/29/2023 00:00:00,0.3238
03/30/2023 00:00:00,0.2934
03/31/2023 00:00:00,0.2122
04/01/2023 00:00:00,0.2828
